population	centromere	mean_cov	med_cov
A1	cent	32.2648175182482	24.13
A1	eu	54.5249258672627	54.33
A2	cent	38.4694525547445	32.505
A2	eu	67.3094938219218	67.32
A3	cent	32.5799635036496	17.78
A3	eu	63.8925925661397	63.79
A4	cent	20.6267883211679	21.92
A4	eu	66.407191820821	66.64
A5	cent	23.0627737226277	17.865
A5	eu	62.264580474668	62.08
A6	cent	34.5687591240876	28.915
A6	eu	64.1592161129994	64.27
A7	cent	30.2345255474453	26.405
A7	eu	66.0579286527546	65.48
AB8	cent	34.5936496350365	29.515
AB8	eu	68.3620944966578	68.56
B1	cent	39.7841240875912	28.47
B1	eu	64.7461849264134	64.22
B2	cent	37.4118613138686	28.18
B2	eu	68.1472541267714	68.51
B3	cent	31.8637591240876	25.135
B3	eu	68.0838628848957	67.97
b3841ST	cent	25.0348540145985	22.125
b3841ST	eu	56.0871508577046	56.75
B4	cent	35.9423722627737	31.72
B4	eu	61.6019284594927	61.56
B5	cent	37.7636131386861	25.005
B5	eu	67.2843569630996	66.76
B6	cent	29.0529927007299	25.385
B6	eu	69.7904318142669	70.34
B7	cent	41.5192335766423	34.12
B7	eu	71.0684106310841	70.36
t0XSAM	cent	30.421496350365	23.58
t0XSAM	eu	51.6802104033712	52.06
t0XSS	cent	31.6182846715328	23.72
t0XSS	eu	53.5187587965667	53.93
