population	contig	mean_cov	med_cov
A1	2L_1	55.6765303749186	54.79
A1	2R_21	53.7482059793006	53.63
A1	3L_1	55.0536566329953	55.08
A1	3R_28	54.4599565993927	54.22
A1	3R_5	25.0553921568627	19.96
A1	4_2	62.3369726858877	64.975
A1	Contig119	45.1355555555556	23.96
A1	Contig79	28.8727906976744	27.865
A1	tig00057289	29.174	16.47
A1	X_1	53.1831561408714	53.36
A2	2L_1	68.3227597916085	67.76
A2	2R_21	66.925161007768	67.12
A2	3L_1	67.6037667933579	68.01
A2	3R_28	67.200993927487	67.27
A2	3R_5	37.4225490196078	33.5
A2	4_2	78.7442185128983	80.86
A2	Contig119	37.409012345679	29.32
A2	Contig79	36.648488372093	37.685
A2	tig00057289	108.326	37.49
A2	X_1	65.8159092050305	65.55
A3	2L_1	65.5727074611592	64.62
A3	2R_21	63.1205398427956	63.2
A3	3L_1	64.6174750513201	64.66
A3	3R_28	63.6758188962315	63.5
A3	3R_5	24.5786274509804	16.46
A3	4_2	74.4027276176024	77.55
A3	Contig119	72.1369135802469	36.83
A3	Contig79	4.63558139534884	0.1
A3	tig00057289	35.628	25.89
A3	X_1	61.8389382146851	62.11
A4	2L_1	66.8661842962136	66.6
A4	2R_21	66.7099730309107	67.36
A4	3L_1	67.1495741956464	67.06
A4	3R_28	66.6194720485801	67.03
A4	3R_5	25.5460784313725	25.965
A4	4_2	70.0373179059181	72.925
A4	Contig119	10.0427160493827	0.75
A4	Contig79	22.7612790697674	21.985
A4	tig00057289	55.022	32.96
A4	X_1	64.3335850090156	64.33
A5	2L_1	63.0700944273886	62.34
A5	2R_21	61.9524262960146	62.11
A5	3L_1	62.6885203552773	62.79
A5	3R_28	62.1772852295053	62.05
A5	3R_5	21.0983333333333	19.96
A5	4_2	75.2633611532625	77.82
A5	Contig119	29.5912345679012	15.5
A5	Contig79	19.3108139534884	18.67
A5	tig00057289	21.91	15.2
A5	X_1	60.6365914226371	60.13
A6	2L_1	65.1053737556982	64.64
A6	2R_21	63.7662252495217	64.38
A6	3L_1	64.8550295725697	65.05
A6	3R_28	64.2351523486337	64.46
A6	3R_5	27.0379411764706	25.53
A6	4_2	70.2858573596358	73.05
A6	Contig119	44.5803703703704	29.68
A6	Contig79	34.6411627906977	31.445
A6	tig00057289	24.764	19.61
A6	X_1	62.3728037340515	61.98
A7	2L_1	67.3881628523584	66.15
A7	2R_21	66.1000949680751	65.68
A7	3L_1	66.7412440804049	66.32
A7	3R_28	66.2570446508305	65.57
A7	3R_5	25.1724509803922	23.885
A7	4_2	75.8295864946889	75.425
A7	Contig119	7.86728395061728	0.59
A7	Contig79	57.7963953488372	55.305
A7	tig00057289	21.786	0.65
A7	X_1	63.1010334832127	62.7
AB8	2L_1	69.7292299283654	69.12
AB8	2R_21	68.0096235852753	68.27
AB8	3L_1	69.2716524054389	69.57
AB8	3R_28	68.0990019646365	68.45
AB8	3R_5	30.8135294117647	30.215
AB8	4_2	80.8948141122914	82.995
AB8	Contig119	47.0977777777778	33.55
AB8	Contig79	27.1908139534884	26.48
AB8	tig00057289	36.47	20.11
AB8	X_1	65.9302371442266	66.31
B1	2L_1	66.2861526653642	64.935
B1	2R_21	64.0255975843072	63.62
B1	3L_1	65.3449389240056	65.2
B1	3R_28	64.3713355956421	63.75
B1	3R_5	25.0720588235294	20.345
B1	4_2	77.3009446130501	80.415
B1	Contig119	57.9077777777778	26.82
B1	Contig79	36.9668604651163	39.73
B1	tig00057289	94.764	26.54
B1	X_1	62.9997388902837	62.69
B2	2L_1	69.3743413340776	68.98
B2	2R_21	68.1827356337736	68.62
B2	3L_1	68.4303034491169	69.09
B2	3R_28	68.361184140025	68.57
B2	3R_5	29.1014705882353	24.505
B2	4_2	78.3413050075873	80.925
B2	Contig119	53.7471604938272	32.9
B2	Contig79	31.523488372093	27.185
B2	tig00057289	43.592	20.21
B2	X_1	65.7033469518179	66.35
B3	2L_1	69.7084986975533	68.85
B3	2R_21	67.8835672959454	67.93
B3	3L_1	68.6847732769659	68.75
B3	3R_28	68.1085572423647	67.99
B3	3R_5	25.436568627451	19.64
B3	4_2	75.4752617602428	78.755
B3	Contig119	45.4327160493827	27.87
B3	Contig79	26.8524418604651	25.955
B3	tig00057289	29.356	21.63
B3	X_1	65.5367838312829	65.51
b3841ST	2L_1	56.8056826216392	56.85
b3841ST	2R_21	56.1616243689925	57.09
b3841ST	3L_1	56.2135446434016	57
b3841ST	3R_28	56.4505252723701	57.21
b3841ST	3R_5	21.8038235294118	17.95
b3841ST	4_2	58.6156980273141	59.72
b3841ST	Contig119	26.327037037037	21
b3841ST	Contig79	25.1289534883721	25.035
b3841ST	tig00057289	68.396	35.26
b3841ST	X_1	54.549840914797	55.06
B4	2L_1	62.8949681365708	62.11
B4	2R_21	60.9564970149598	61.18
B4	3L_1	62.1168596166745	62.41
B4	3R_28	61.5728372923736	61.41
B4	3R_5	38.5879411764706	39.285
B4	4_2	73.1160394537178	75.915
B4	Contig119	37.6572839506173	27.69
B4	Contig79	31.1951162790698	30.585
B4	tig00057289	35.844	25.93
B4	X_1	59.7382740282565	59.85
B5	2L_1	68.8120790306075	67.56
B5	2R_21	66.985854827928	66.63
B5	3L_1	67.8021420296335	67.64
B5	3R_28	67.3016945883193	66.77
B5	3R_5	24.1192156862745	18.98
B5	4_2	79.1855880121396	82.63
B5	Contig119	14.5677777777778	0.99
B5	Contig79	76.3879069767442	70.69
B5	tig00057289	27.544	20.93
B5	X_1	64.7610432976514	64.02
B6	2L_1	71.1587605823798	70.75
B6	2R_21	70.2801438351428	71.22
B6	3L_1	70.6751240828439	70.94
B6	3R_28	71.0272782639757	71.58
B6	3R_5	17.1913725490196	14.195
B6	4_2	57.9821699544765	60.345
B6	Contig119	33.7474074074074	24.42
B6	Contig79	39.83	37.665
B6	tig00057289	9.616	8.05
B6	X_1	66.0990607810467	66.91
B7	2L_1	72.6371764815332	71.29
B7	2R_21	70.2700583177742	69.75
B7	3L_1	71.9094103778378	71.56
