population	centromere	mean_cov	med_cov
B04	cent	6.55295620437956	3.865
B04	eu	14.2013989639483	14.23
B05	cent	8.4535401459854	5.965
B05	eu	13.9313197265765	13.99
B10	cent	8.2286496350365	6.015
B10	eu	14.0475670009537	13.97
B11	cent	7.64974452554745	5.54
B11	eu	13.4132448670064	13.43
B12	cent	9.17543795620438	6.53
B12	eu	14.5877295089888	14.65
B14	cent	7.73025547445256	5.99
B14	eu	13.4049346900878	13.46
B23	cent	7.15923357664234	4.985
B23	eu	12.5235044261172	12.55
B28	cent	8.19609489051095	7.045
B28	eu	13.8740596759082	13.88
B38	cent	7.19350364963504	6.145
B38	eu	13.7902987156488	13.92
B42	cent	6.61047445255474	6.02
B42	eu	13.4492197261563	13.54
B43	cent	6.38014598540146	4.99
B43	eu	13.2100977653045	13.28
B51	cent	7.89591240875912	6.765
B51	eu	12.5826214713951	12.62
B52	cent	5.94156934306569	4.355
B52	eu	13.9398363996152	14.01
B54	cent	8.18339416058394	6.425
B54	eu	14.3424507287233	14.36
B59	cent	8.55773722627737	6.85
B59	eu	10.8992509001382	10.61
I01	cent	7.96390510948905	6.72
I01	eu	15.2090809137086	15.09
I02	cent	10.6154379562044	9.2
I02	eu	15.0895862095043	15.07
I03	cent	7.70244525547445	7.115
I03	eu	15.5576748494868	15.6
I04	cent	6.4363503649635	5.995
I04	eu	11.2923676261139	11.35
I07	cent	7.2256204379562	6.225
I07	eu	13.8018828748965	13.89
I13	cent	8.43124087591241	7.12
I13	eu	15.5207083888261	15.52
I16	cent	9.29160583941606	7.16
I16	eu	10.3731788638722	10.13
I17	cent	6.88080291970803	5.43
I17	eu	16.0827534776635	16.05
I22	cent	8.23284671532847	7.71
I22	eu	14.3848199933619	14.48
I23	cent	8.08448905109489	6.835
I23	eu	15.8599770606548	15.96
I24	cent	9.55616788321168	8.56
I24	eu	14.1937700351653	14.28
I29	cent	7.49905109489051	7.145
I29	eu	16.2763824316546	16.42
I31	cent	7.09262773722628	5.995
I31	eu	12.4241642053786	12.51
I33	cent	6.5386496350365	5.9
I33	eu	12.2160290144904	12.28
I35	cent	5.75102189781022	5.385
I35	eu	12.4088473189115	12.51
I38	cent	8.19467153284672	7.545
I38	eu	14.1832805364278	14.29
N01	cent	7.05912408759124	6.77
N01	eu	12.403702729614	12.34
N02	cent	8.10627737226277	7.895
N02	eu	13.3449428406976	13.25
N03	cent	7.64576642335766	7.03
N03	eu	12.2251955516156	12.16
N04	cent	8.7101094890511	7.195
N04	eu	12.5388434116604	12.44
N07	cent	7.57233576642336	7.4
N07	eu	12.1513892588407	12.05
N10	cent	8.97540145985401	7.97
N10	eu	12.8576982929934	12.79
N11	cent	7.1620802919708	6.37
N11	eu	11.8645661480806	11.78
N14	cent	7.36978102189781	6.42
N14	eu	11.9787801814141	11.89
N15	cent	7.31974452554745	5.94
N15	eu	10.0158539024196	9.95
N16	cent	8.44759124087591	6.69
N16	eu	12.4879416349115	12.36
N17	cent	8.51375912408759	8.085
N17	eu	12.4882812296497	12.35
N18	cent	7.42076642335766	6.98
N18	eu	12.4196681777505	12.27
N19	cent	7.7001094890511	6.575
N19	eu	11.871375646482	11.79
N22	cent	8.52408759124088	7.79
N22	eu	12.0726674761259	12
N23	cent	8.51361313868613	7.58
N23	eu	12.4731409257244	12.39
N25	cent	7.33598540145985	7.16
N25	eu	11.4942950772837	11.38
T04	cent	6.39700729927007	5.28
T04	eu	12.1420677761019	12.08
T05	cent	8.12551094890511	7
T05	eu	12.6793013162815	12.62
T07	cent	7.67394160583942	6.565
T07	eu	12.7404606354955	12.69
T09	cent	7.99656934306569	7.065
T09	eu	12.2341152176927	12.21
T10	cent	7.17879562043796	6.69
T10	eu	12.4791356992509	12.46
T14A	cent	8.85503649635037	8.15
T14A	eu	13.0894239535499	13.06
T22A	cent	7.75857664233577	6.7
T22A	eu	11.2763622651973	11.23
T29A	cent	7.46642335766423	6.65
T29A	eu	13.0424494263063	12.97
T30	cent	6.97	6.18
T30	eu	12.6981344766594	12.65
T35	cent	6.88737226277372	6.48
T35	eu	11.5200469290267	11.45
T36B	cent	6.26817518248175	5.415
T36B	eu	12.6837753708738	12.61
T39	cent	6.46813868613139	6.27
T39	eu	10.9164604506363	10.95
ZH23	cent	8.04536496350365	7.215
ZH23	eu	12.0448048265054	12.01
ZH26	cent	7.50007299270073	7.27
ZH26	eu	12.2703183779446	12.22
ZH33	cent	5.93306569343066	5.17
ZH33	eu	12.4741721459211	12.73
ZH42	cent	6.56883211678832	6.3
ZH42	eu	14.0327324709372	14.25
ZS10	cent	4.87978102189781	4.53
ZS10	eu	12.0906631403375	12.29
ZW09	cent	5.96788321167883	5.435
ZW09	eu	12.6475007037253	12.79
ZW139	cent	5.87945255474453	5.41
ZW139	eu	13.1227270091883	13.27
ZW140	cent	6.17040145985401	6.165
ZW140	eu	13.0502154449855	13.25
ZW142	cent	7.04032846715328	6.815
ZW142	eu	13.0256051827795	13.17
ZW155	cent	6.2792700729927	5.55
ZW155	eu	12.85056545906	13.02
ZW177	cent	5.92799270072993	5.59
ZW177	eu	12.8274541528197	12.91
ZW184	cent	7.31098540145985	6.795
ZW184	eu	12.9606390246157	13.08
ZW185	cent	5.59124087591241	5.09
ZW185	eu	12.7591754019637	12.95
