population	contig	mean_cov	med_cov
B04	2L_1	14.5180802865383	14.36
B04	2R_21	14.3282737477814	14.39
B04	3L_1	14.1208009999797	14.24
B04	3R_28	14.2706165386676	14.37
B04	3R_5	4.1321568627451	3.585
B04	4_2	15.0975796661609	14.74
B04	Contig119	1.9262962962963	0
B04	Contig79	13.8924418604651	13.625
B04	tig00057289	4.65	4.18
B04	X_1	13.7131292082259	13.66
B05	2L_1	14.0120511210345	14.05
B05	2R_21	14.3012007007353	14.31
B05	3L_1	13.8485295014329	13.92
B05	3R_28	14.1108355063404	14.16
B05	3R_5	5.91450980392157	5.745
B05	4_2	13.9053679817906	13.775
B05	Contig119	2.67876543209877	0
B05	Contig79	17.1788372093023	15.645
B05	tig00057289	3.726	3.16
B05	X_1	13.3509670645699	13.46
B10	2L_1	14.2592401618755	14.07
B10	2R_21	14.296365857594	14.17
B10	3L_1	13.9100628036016	13.98
B10	3R_28	14.139293981068	14.1
B10	3R_5	6.53990196078431	5.07
B10	4_2	14.7594309559939	14.3
B10	Contig119	1.94691358024691	0
B10	Contig79	16.326976744186	15.755
B10	tig00057289	5.152	5.06
B10	X_1	13.5878481272682	13.44
B11	2L_1	13.6447104381803	13.49
B11	2R_21	13.6449136758638	13.7
B11	3L_1	13.3290845714518	13.38
B11	3R_28	13.5233461332381	13.59
B11	3R_5	6.1471568627451	5.125
B11	4_2	13.310466616085	13.28
B11	Contig119	1.16	0
B11	Contig79	15.6583720930233	15.39
B11	tig00057289	5.688	5.59
B11	X_1	12.9166923059366	12.92
B12	2L_1	14.8532875151177	14.79
B12	2R_21	14.6863437291105	14.76
B12	3L_1	14.6230233125343	14.74
B12	3R_28	14.6986113591713	14.76
B12	3R_5	8.53843137254902	6.455
B12	4_2	15.8113884673748	15.925
B12	Contig119	1.78172839506173	0
B12	Contig79	17.1655813953488	16.785
B12	tig00057289	4.518	4.68
B12	X_1	13.9745224020268	14.08
B14	2L_1	13.5807372778863	13.49
B14	2R_21	13.7252774128115	13.8
B14	3L_1	13.3077335826508	13.38
B14	3R_28	13.5899798178246	13.63
B14	3R_5	6.21205882352941	5.475
B14	4_2	12.8561456752656	12.95
B14	Contig119	1.71802469135802	0
B14	Contig79	15.3024418604651	14.435
B14	tig00057289	5.858	4.77
B14	X_1	12.8209090909091	12.96
B23	2L_1	12.6396276397804	12.58
B23	2R_21	12.7885088629187	12.85
B23	3L_1	12.4527143757241	12.47
B23	3R_28	12.6973713163065	12.73
B23	3R_5	6.05343137254902	4.73
B23	4_2	12.1541312594841	12.035
B23	Contig119	1.24691358024691	0
B23	Contig79	14.2310465116279	14.175
B23	tig00057289	3.862	4.07
B23	X_1	12.026671992331	12.08
B28	2L_1	13.9989226904828	13.87
B28	2R_21	14.1844757162944	14.21
B28	3L_1	13.6908875835857	13.76
B28	3R_28	14.0856508305054	14.09
B28	3R_5	6.41411764705882	6.01
B28	4_2	13.4923482549317	12.88
B28	Contig119	11.3645679012346	9.08
B28	Contig79	7.79825581395349	7.4
B28	tig00057289	0.062	0
B28	X_1	13.4024202862164	13.41
B38	2L_1	13.9470027444413	13.96
B38	2R_21	14.0971841504737	14.22
B38	3L_1	13.7410570923355	13.87
B38	3R_28	13.9242820146455	14.04
B38	3R_5	4.59441176470588	4
B38	4_2	13.7596737481032	13.86
B38	Contig119	10.2138271604938	7.86
B38	Contig79	7.845	7.89
B38	tig00057289	0.08	0
B38	X_1	13.2185616141328	13.44
B42	2L_1	13.5252195553075	13.56
B42	2R_21	13.7948673443515	13.88
B42	3L_1	13.3848047803906	13.44
B42	3R_28	13.6259537417396	13.73
B42	3R_5	5.11901960784314	5.1
