population	centromere	mean_cov	med_cov
100	cent	26.9543430656934	25.125
100	eu	58.934360156122	60.1
109	cent	25.1755109489051	22.42
109	eu	53.3530251366488	53.77
138	cent	13.909598540146	11.565
138	eu	31.6499507602334	27.59
142	cent	9.26010948905109	7.285
142	eu	23.0936647074393	22.51
149	cent	5.91375912408759	3.165
149	eu	14.8741924384188	14.86
176	cent	11.3243430656934	5.56
176	eu	32.8659504913473	31.53
177	cent	18.5567518248175	15.905
177	eu	24.7529390930976	24.38
181	cent	10.6774452554745	5.52
181	eu	25.2511841071511	25.41
189	cent	21.7589781021898	20.41
189	eu	44.343521105458	44.98
195	cent	5.21029197080292	1.72
195	eu	15.1825455530861	14.73
208	cent	35.9010218978102	34.095
208	eu	84.0493789571421	86.3
21	cent	10.4269708029197	9.02
21	eu	16.1804400909171	15.69
217	cent	5.5043795620438	2.415
217	eu	13.8345492166592	13.37
223	cent	28.7803284671533	25.505
223	eu	48.9476347686529	49.33
229	cent	33.766897810219	28.97
229	eu	62.0812397329625	62.02
235	cent	12.470401459854	10.65
235	eu	18.8745445111525	18.58
26	cent	5.85711678832117	2.265
26	eu	16.8113251042984	16.91
301	cent	45.0648175182482	43.26
301	eu	82.5348665862809	83.92
303	cent	93.2159489051095	82.375
303	eu	164.830517983858	167.05
304	cent	74.9112408759124	64.405
304	eu	140.687058638176	143.29
306	cent	38.1480656934307	33.625
306	eu	60.5348943571732	61.09
307	cent	81.0173357664234	71.355
307	eu	151.952670585121	153.85
309	cent	4.80080291970803	2.705
309	eu	13.1868180271323	13.34
31	cent	31.627700729927	30.785
31	eu	53.977631995765	54.92
310	cent	4.27919708029197	1.88
310	eu	12.2424319907234	12.32
315	cent	22.7466788321168	20.675
315	eu	55.7767904663073	56.62
318	cent	6.28901459854015	3.575
318	eu	15.3960537184006	15.63
319	cent	29.7221532846715	22.73
319	eu	39.8614264407463	38.27
32	cent	35.4554379562044	33.59
32	eu	60.5614036274415	60.79
320	cent	12.4563138686131	11.865
320	eu	23.7619099735735	23.89
321	cent	25.8965693430657	23.43
321	eu	35.8734542620547	36.34
324	cent	66.3187591240876	53.495
324	eu	111.677038303665	112.82
332	cent	11.5827372262774	5.835
332	eu	26.8258374751595	27.17
340	cent	49.1387591240876	34.12
340	eu	60.7112706548637	56.33
348	cent	36.8177737226277	34.07
348	eu	56.2590631420181	56.39
352	cent	5.90003649635037	2.775
352	eu	15.7692712766628	15.64
354	cent	36.8403284671533	30.57
354	eu	66.1773342884392	66.27
355	cent	30.3557664233577	24.795
355	eu	52.8519053100803	52.99
356	cent	5.5271897810219	2.905
356	eu	15.7160181330062	15.49
357	cent	13.4517153284672	10.31
357	eu	19.5357916804961	19.5
359	cent	13.6577372262774	11.24
359	eu	19.9124093874859	19.61
360	cent	18.101897810219	16.36
360	eu	34.4558644477962	34.56
361	cent	26.9974087591241	23.31
361	eu	49.2787771984589	49.83
362	cent	24.5885766423358	21.77
362	eu	38.8465930871065	39.3
367	cent	6.49229927007299	3.56
367	eu	14.1630174061735	14.24
370	cent	12.7509854014599	10.615
370	eu	20.8738796482634	20.71
371	cent	25.9813868613139	23.29
371	eu	45.564759872111	45.16
373	cent	28.7874817518248	25.76
373	eu	53.4323404013965	53.49
375	cent	18.0660218978102	15.085
375	eu	28.8046844999769	28.81
377	cent	17.9289781021898	13.495
377	eu	23.741380562056	23.5
38	cent	21.5077737226277	18.705
38	eu	27.7090320100496	27.45
381	cent	10.5827372262774	5.79
381	eu	22.6371675790588	22.68
382	cent	39.1747080291971	33.455
382	eu	46.2306928438486	46.18
383	cent	11.9193795620438	9.14
383	eu	19.3787128758629	19.28
390	cent	15.0201824817518	13.53
390	eu	33.117013263647	33.14
392	cent	13.8948175182482	12.05
392	eu	19.3130540419042	18.68
395	cent	27.8536131386861	22.92
395	eu	53.9287333784278	54.49
397	cent	13.0285766423358	5.96
397	eu	36.3466305210929	34.5
399	cent	9.92299270072993	6.89
399	eu	16.9471788806776	16.62
40	cent	20.6990510948905	18.12
40	eu	33.7245865666186	33.71
405	cent	14.9789416058394	12.79
405	eu	16.6216194085346	15.68
406	cent	17.3194890510949	14.675
406	eu	21.9815916796558	21.53
409	cent	23.7502919708029	20.555
409	eu	40.4301598611876	40.45
42	cent	14.2202554744526	11.12
42	eu	19.4573636138291	18.51
426	cent	9.66237226277372	5.475
426	eu	19.7152450014495	19.72
427	cent	8.32098540145985	6.57
427	eu	17.6729197669094	17.58
437	cent	26.2243430656934	23.705
437	eu	46.0606799457186	46.44
439	cent	13.5809124087591	10.9
439	eu	12.6382393842508	11.74
440	cent	6.45032846715328	5.075
440	eu	16.9679898243418	16.87
441	cent	6.99828467153285	5.85
441	eu	17.4019767329499	17.36
443	cent	26.9313138686131	20.685
443	eu	22.5329629147253	21.97
461	cent	15.6058759124088	12.76
461	eu	14.9469800310059	14.51
48	cent	22.4744525547445	20.82
48	eu	36.8515517668758	37.47
492	cent	9.10602189781022	6.89
492	eu	20.9896733454052	20.79
502	cent	7.88109489051095	6.64
502	eu	21.5329500165953	21.42
505	cent	32.5560948905109	29.23
505	eu	49.7869928030956	50.35
508	cent	9.46270072992701	7.6
508	eu	20.249853457077	20.02
513	cent	9.70978102189781	8.135
513	eu	18.7863435271974	18.81
517	cent	16.2920072992701	14.005
517	eu	30.4691999378201	30.28
528	cent	18.1958759124088	17.115
528	eu	41.1696226351678	41.4
530	cent	14.6156934306569	13.9
530	eu	22.859850306068	22.88
531	cent	13.7052189781022	11.335
531	eu	17.8186440578273	17.26
551	cent	12.3459854014599	12.085
551	eu	23.3414164415446	23.48
555	cent	12.0225912408759	9.39
555	eu	21.9471112810322	21.79
559	cent	13.1452189781022	12.37
559	eu	26.4085224288817	26.08
566	cent	36.9753649635037	29.88
566	eu	56.4296677156025	56.52
57	cent	16.3431751824818	13.125
57	eu	32.4971343884312	26.42
584	cent	42.4085401459854	35.7
584	eu	58.0271639659019	57.85
589	cent	4.91744525547445	2.125
589	eu	13.7960367449657	13.64
596	cent	24.7447080291971	21.08
596	eu	46.8445758111747	47.2
627	cent	25.4614598540146	24.2
627	eu	53.9370704859696	54.22
630	cent	11.9736496350365	10.76
630	eu	25.8106486456964	25.53
634	cent	10.3801094890511	9.215
634	eu	21.7750937950332	21.56
639	cent	8.13923357664234	6.1
639	eu	18.0729140950932	17.52
69	cent	5.56419708029197	1.865
69	eu	15.2110096672955	15.68
705	cent	11.3275912408759	8.27
705	eu	19.5171134657317	19.24
707	cent	8.20558394160584	6.255
707	eu	20.2629656035863	19.49
712	cent	8.25631386861314	5.905
712	eu	18.5313837550784	17.51
714	cent	8.12328467153285	5.365
714	eu	18.631647935669	17.47
727	cent	14.4659489051095	11.855
727	eu	27.4539853541104	26.55
737	cent	15.7290875912409	13.185
