source	population	centromere	mean_cov	med_cov
DGRP	100	cent	26.95434307	25.125
DGRP	100	eu	58.93436016	60.1
DGRP	109	cent	25.17551095	22.42
DGRP	109	eu	53.35302514	53.77
DGRP	138	cent	13.90959854	11.565
DGRP	138	eu	31.64995076	27.59
DGRP	142	cent	9.260109489	7.285
DGRP	142	eu	23.09366471	22.51
DGRP	149	cent	5.913759124	3.165
DGRP	149	eu	14.87419244	14.86
DGRP	176	cent	11.32434307	5.56
DGRP	176	eu	32.86595049	31.53
DGRP	177	cent	18.55675182	15.905
DGRP	177	eu	24.75293909	24.38
DGRP	181	cent	10.67744526	5.52
DGRP	181	eu	25.25118411	25.41
DGRP	189	cent	21.7589781	20.41
DGRP	189	eu	44.34352111	44.98
DGRP	195	cent	5.210291971	1.72
DGRP	195	eu	15.18254555	14.73
DGRP	208	cent	35.9010219	34.095
DGRP	208	eu	84.04937896	86.3
DGRP	21	cent	10.4269708	9.02
DGRP	21	eu	16.18044009	15.69
DGRP	217	cent	5.504379562	2.415
DGRP	217	eu	13.83454922	13.37
DGRP	223	cent	28.78032847	25.505
DGRP	223	eu	48.94763477	49.33
DGRP	229	cent	33.76689781	28.97
DGRP	229	eu	62.08123973	62.02
DGRP	235	cent	12.47040146	10.65
DGRP	235	eu	18.87454451	18.58
DGRP	26	cent	5.857116788	2.265
DGRP	26	eu	16.8113251	16.91
DGRP	301	cent	45.06481752	43.26
DGRP	301	eu	82.53486659	83.92
DGRP	303	cent	93.21594891	82.375
DGRP	303	eu	164.830518	167.05
DGRP	304	cent	74.91124088	64.405
DGRP	304	eu	140.6870586	143.29
DGRP	306	cent	38.14806569	33.625
DGRP	306	eu	60.53489436	61.09
DGRP	307	cent	81.01733577	71.355
DGRP	307	eu	151.9526706	153.85
DGRP	309	cent	4.80080292	2.705
DGRP	309	eu	13.18681803	13.34
DGRP	31	cent	31.62770073	30.785
DGRP	31	eu	53.977632	54.92
DGRP	310	cent	4.27919708	1.88
DGRP	310	eu	12.24243199	12.32
DGRP	315	cent	22.74667883	20.675
DGRP	315	eu	55.77679047	56.62
DGRP	318	cent	6.289014599	3.575
DGRP	318	eu	15.39605372	15.63
DGRP	319	cent	29.72215328	22.73
DGRP	319	eu	39.86142644	38.27
DGRP	32	cent	35.45543796	33.59
DGRP	32	eu	60.56140363	60.79
DGRP	320	cent	12.45631387	11.865
DGRP	320	eu	23.76190997	23.89
DGRP	321	cent	25.89656934	23.43
DGRP	321	eu	35.87345426	36.34
DGRP	324	cent	66.31875912	53.495
DGRP	324	eu	111.6770383	112.82
DGRP	332	cent	11.58273723	5.835
DGRP	332	eu	26.82583748	27.17
DGRP	340	cent	49.13875912	34.12
DGRP	340	eu	60.71127065	56.33
DGRP	348	cent	36.81777372	34.07
DGRP	348	eu	56.25906314	56.39
DGRP	352	cent	5.900036496	2.775
DGRP	352	eu	15.76927128	15.64
DGRP	354	cent	36.84032847	30.57
DGRP	354	eu	66.17733429	66.27
DGRP	355	cent	30.35576642	24.795
DGRP	355	eu	52.85190531	52.99
DGRP	356	cent	5.527189781	2.905
DGRP	356	eu	15.71601813	15.49
DGRP	357	cent	13.45171533	10.31
DGRP	357	eu	19.53579168	19.5
DGRP	359	cent	13.65773723	11.24
DGRP	359	eu	19.91240939	19.61
DGRP	360	cent	18.10189781	16.36
DGRP	360	eu	34.45586445	34.56
DGRP	361	cent	26.99740876	23.31
DGRP	361	eu	49.2787772	49.83
DGRP	362	cent	24.58857664	21.77
DGRP	362	eu	38.84659309	39.3
DGRP	367	cent	6.49229927	3.56
DGRP	367	eu	14.16301741	14.24
DGRP	370	cent	12.7509854	10.615
DGRP	370	eu	20.87387965	20.71
DGRP	371	cent	25.98138686	23.29
DGRP	371	eu	45.56475987	45.16
DGRP	373	cent	28.78748175	25.76
DGRP	373	eu	53.4323404	53.49
DGRP	375	cent	18.0660219	15.085
DGRP	375	eu	28.8046845	28.81
DGRP	377	cent	17.9289781	13.495
DGRP	377	eu	23.74138056	23.5
DGRP	38	cent	21.50777372	18.705
DGRP	38	eu	27.70903201	27.45
DGRP	381	cent	10.58273723	5.79
DGRP	381	eu	22.63716758	22.68
DGRP	382	cent	39.17470803	33.455
DGRP	382	eu	46.23069284	46.18
DGRP	383	cent	11.91937956	9.14
