te.name	strain	contig	start	end	strand	div	uniq.subs	uniq.subs.orf	centromere	denovo	tsd.5	tsd.adjacent	nts	tsd.3.reverse	tsd.3.forward	groups	keep.delete	transcribed	ref.contig	ref.start	ref.chrom	ref.chromatin	ref.region	start.new	tag.present.ref	target	motif	te.start	te.end
ISO1|2L_1|20193357-20194686|-|	ISO1	2L_1	20193357	20194686	-	5	6	1	non-centromere	no	no	no	no	no	no	0	keep	no	2L_1	20193357	2	eu	.	20193357	NA	Target	Motif:Jockey-3_Dmel_08212020	727	2067
ISO1|Contig135|287627-289934|+|	ISO1	Contig135	287627	289934	+	2.1	0	0	non-centromere	no	yes	yes	yes	no	no	0	keep	no	Contig135	287627	X	het	.	24471307	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2289
ISO1|Contig135|291012-293318|+|	ISO1	Contig135	291012	293318	+	2.1	1	0	non-centromere	no	yes	yes	yes	no	no	0	keep	no	Contig135	291012	X	het	.	24474692	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2289
ISO1|Contig135|294635-296933|+|	ISO1	Contig135	294635	296933	+	2.2	3	0	non-centromere	no	yes	yes	yes	no	no	0	keep	no	Contig135	294635	X	het	.	24478315	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2289
ISO1|Contig5|367183-370181|-|	ISO1	Contig5	367183	370181	-	3.8	20	13	non-centromere	no	no	no	no	no	no	0	keep	no	Contig5	367183	X	het	.	22174096	NA	Target	Motif:Jockey-3_Dmel_08212020	489	3491
ISO1|Contig135|328888-330523|-|	ISO1	Contig135	328888	330523	-	3.2	15	9	non-centromere	no	no	no	no	no	no	0	keep	no	Contig135	328888	X	het	.	24512568	NA	Target	Motif:Jockey-3_Dmel_08212020	278	1915
ISO1|Contig5|372018-373428|-|	ISO1	Contig5	372018	373428	-	3.5	6	4	non-centromere	no	no	yes	no	yes	no	0	keep	no	Contig5	372018	X	het	.	22169261	NA	Target	Motif:Jockey-3_Dmel_08212020	2790	4275
ISO1|Contig135|297771-302075|+|	ISO1	Contig135	297771	302075	+	3	11	10	non-centromere	no	yes	yes	yes	yes	no	0	keep	no	Contig135	297771	X	het	.	24481451	NA	Target	Motif:Jockey-3_Dmel_08212020	1	4298
ISO1|Contig5|323601-327933|-|	ISO1	Contig5	323601	327933	-	2.6	16	11	non-centromere	no	yes	yes	yes	yes	no	0	keep	no	Contig5	323601	X	het	.	22217678	NA	Target	Motif:Jockey-3_Dmel_08212020	1	4300
ISO1|Contig119|44821-45358|-|	ISO1	Contig119	44821	45358	-	6	9	NA	centromere	no	no	no	no	no	no	0	keep	no	Contig119	44821	4	het	centromere	44821	NA	Target	Motif:Jockey-3_Dmel_08212020	114	694
ISO1|Contig79|13180-14145|-|	ISO1	Contig79	13180	14145	-	4.4	12	NA	centromere	no	no	no	no	no	no	0	keep	no	Contig79	13180	X	het	centromere	25237446	NA	Target	Motif:Jockey-3_Dmel_08212020	28	995
ISO1|Y_scaffold4|1888313-1889091|+|	ISO1	Y_scaffold4	1888313	1889091	+	3.2	5	4	non-centromere	no	no	yes	no	yes	yes	0	keep	no	Y_scaffold4	1888313	Y	het	.	4731763	NA	Target	Motif:Jockey-3_Dmel_08212020	3432	4298
ISO1|Y_scaffold4|1659860-1660307|+|	ISO1	Y_scaffold4	1659860	1660307	+	3.5	2	2	non-centromere	no	no	no	no	no	no	0	keep	no	Y_scaffold4	1659860	Y	het	.	4503310	NA	Target	Motif:Jockey-3_Dmel_08212020	3840	4324
ISO1|Y_scaffold4|1846105-1846969|+|	ISO1	Y_scaffold4	1846105	1846969	+	3	2	2	non-centromere	no	no	yes	no	yes	yes	0	keep	no	Y_scaffold4	1846105	Y	het	.	4689555	NA	Target	Motif:Jockey-3_Dmel_08212020	3432	4297
ISO1|2L_1|20153302-20154005|+|	ISO1	2L_1	20153302	20154005	+	3.1	5	5	non-centromere	no	no	no	no	no	no	0	keep	no	2L_1	20153302	2	eu	.	20153302	NA	Target	Motif:Jockey-3_Dmel_08212020	3591	4293
ISO1|Y_scaffold7|702121-706449|+|	ISO1	Y_scaffold7	702121	706449	+	1.5	16	15	non-centromere	no	yes	yes	yes	no	no	0	keep	no	Y_scaffold7	702121	Y	het	.	2041329	reference	Target	Motif:Jockey-3_Dmel_08212020	1	4290
ISO1|Y_scaffold7|689674-692269|+|	ISO1	Y_scaffold7	689674	692269	+	1.5	6	5	non-centromere	no	yes	yes	yes	no	no	0	keep	no	Y_scaffold7	689674	Y	het	.	2053776	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2577
ISO1|Y_scaffold7|693822-696430|+|	ISO1	Y_scaffold7	693822	696430	+	1.4	2	0	non-centromere	no	yes	yes	yes	no	no	0	keep	no	Y_scaffold7	693822	Y	het	.	2049628	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2577
ISO1|Y_scaffold7|697968-700579|+|	ISO1	Y_scaffold7	697968	700579	+	1.4	3	2	non-centromere	no	yes	yes	yes	no	no	0	keep	no	Y_scaffold7	697968	Y	het	.	2045482	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2577
n25|tig00000609|38943-43262|+|	n25	tig00000609	38943	43262	+	1	28	18	non-centromere	no	yes	yes	yes	no	no	0	keep	no	unknown	NA	NA	NA	NA	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	1	4257
ISO1|2R_18|665527-668929|-|	ISO1	2R_18	665527	668929	-	1.1	9	6	non-centromere	no	yes	no	no	no	no	0	keep	no	2R_18	665527	2	het	.	25822458	reference	Target	Motif:Jockey-3_Dmel_08212020	893	4294
ISO1|2L_2|121852-122992|+|	ISO1	2L_2	121852	122992	+	3.1	3	2	non-centromere	no	no	yes	no	yes	no	17	keep	no	2L_2	121852	2	eu	.	23517298	NA	Target	Motif:Jockey-3_Dmel_08212020	3122	4299
t29a|tig00155135|115422-116574|+|	t29a	tig00155135	115422	116574	+	3	NA	NA	non-centromere	no	no	yes	no	yes	yes	17	delete	no	2L_2	121852	2	eu	.	23517298	NA	Target	Motif:Jockey-3_Dmel_08212020	3122	4300
ISO1|Y_Contig10|362894-363983|+|	ISO1	Y_Contig10	362894	363983	+	0.9	1	1	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig10	362894	Y	het	.	7326196	NA	Target	Motif:Jockey-3_Dmel_08212020	1362	2516
ISO1|Y_Contig10|340997-343846|+|	ISO1	Y_Contig10	340997	343846	+	1.2	4	3	non-centromere	no	no	no	no	no	yes	0	keep	no	Y_Contig10	340997	Y	het	.	7348093	NA	Target	Motif:Jockey-3_Dmel_08212020	1362	4296
ISO1|Y_Contig10|312110-314979|+|	ISO1	Y_Contig10	312110	314979	+	1.3	5	5	non-centromere	no	no	no	no	no	yes	0	keep	no	Y_Contig10	312110	Y	het	.	7376980	NA	Target	Motif:Jockey-3_Dmel_08212020	1362	4295
ISO1|Y_Contig10|321604-322552|+|	ISO1	Y_Contig10	321604	322552	+	0.7	0	0	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig10	321604	Y	het	.	7367486	NA	Target	Motif:Jockey-3_Dmel_08212020	1362	2374
ISO1|Y_Contig10|386824-387768|+|	ISO1	Y_Contig10	386824	387768	+	0.7	1	0	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig10	386824	Y	het	.	7302266	NA	Target	Motif:Jockey-3_Dmel_08212020	1362	2374
ISO1|Y_Contig10|387758-388616|+|	ISO1	Y_Contig10	387758	388616	+	2.7	6	6	non-centromere	no	no	no	no	no	yes	0	keep	no	Y_Contig10	387758	Y	het	.	7301332	NA	Target	Motif:Jockey-3_Dmel_08212020	3428	4294
ISO1|Y_Contig10|322542-323409|+|	ISO1	Y_Contig10	322542	323409	+	2.5	2	2	non-centromere	no	no	no	no	no	yes	0	keep	no	Y_Contig10	322542	Y	het	.	7366548	NA	Target	Motif:Jockey-3_Dmel_08212020	3428	4294
ISO1|Y_Contig10|363986-365070|+|	ISO1	Y_Contig10	363986	365070	+	2	0	0	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig10	363986	Y	het	.	7325104	NA	Target	Motif:Jockey-3_Dmel_08212020	3212	4294
ISO1|2L_1|20152818-20153306|-|	ISO1	2L_1	20152818	20153306	-	2	2	2	non-centromere	no	no	no	no	no	no	0	keep	no	2L_1	20152818	2	eu	.	20152818	NA	Target	Motif:Jockey-3_Dmel_08212020	3111	3598
ISO1|Y_Contig10|241546-242605|-|	ISO1	Y_Contig10	241546	242605	-	1	0	0	non-centromere	no	no	no	no	no	yes	0	keep	no	Y_Contig10	241546	Y	het	.	7447544	NA	Target	Motif:Jockey-3_Dmel_08212020	1362	2485
