X,ISO1|Contig119|64539-66276|-|,ISO1|Contig119|48478-51184|+|,ISO1|Contig119|44821-45358|-|,ISO1|Contig119|58079-59406|-|,ISO1|Contig119|60219-60370|+|,ISO1|Contig119|35128-35454|+|,ISO1|Contig119|60368-60772|+|,ISO1|Contig119|43705-44031|-|,ISO1|Contig119|42718-43720|-|,ISO1|Contig119|35446-36118|+|,ISO1|Contig119|60764-62054|+|,ISO1|Contig119|44016-44827|-|,ISO1|Contig119|42262-42723|-|,ISO1|Contig119|57527-58081|-|,ISO1|Contig119|64034-64542|-|,ISO1|Contig119|51181-51440|-|,ISO1|Contig119|52691-53059|-|,ISO1|Contig119|55924-56293|-|,ISO1|Contig119|54312-54683|-|,ISO1|Contig119|31824-32097|-|,ISO1|Contig119|62301-62418|+|
ISO1|Contig119|64539-66276|-|,,,,,,,,,,,,,,,,,,,,,
ISO1|Contig119|48478-51184|+|,0.04874,,,,,,,,,,,,,,,,,,,,
ISO1|Contig119|44821-45358|-|,0.08996,0.09077,,,,,,,,,,,,,,,,,,,
ISO1|Contig119|58079-59406|-|,0.05753,0.02714,NA,,,,,,,,,,,,,,,,,,
ISO1|Contig119|60219-60370|+|,NA,0.04086,NA,0.05495,,,,,,,,,,,,,,,,,
ISO1|Contig119|35128-35454|+|,NA,0.09188,NA,0.09771,NA,,,,,,,,,,,,,,,,
ISO1|Contig119|60368-60772|+|,NA,0.06747,NA,0.06418,NA,0.07511,,,,,,,,,,,,,,,
ISO1|Contig119|43705-44031|-|,NA,0.10947,NA,0.09367,NA,0.11860,0.12109,,,,,,,,,,,,,,
ISO1|Contig119|42718-43720|-|,NA,0.11961,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
ISO1|Contig119|35446-36118|+|,NA,NA,NA,NA,NA,NA,NA,NA,0.03585,,,,,,,,,,,,
ISO1|Contig119|60764-62054|+|,NA,NA,NA,NA,NA,NA,NA,NA,0.06810,0.07181,,,,,,,,,,,
ISO1|Contig119|44016-44827|-|,NA,NA,NA,NA,NA,NA,NA,NA,0.08578,0.09237,0.05795,,,,,,,,,,
ISO1|Contig119|42262-42723|-|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06350,0.01597,,,,,,,,,
ISO1|Contig119|57527-58081|-|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08487,0.04501,0.05407,,,,,,,,
ISO1|Contig119|64034-64542|-|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09289,0.04012,0.05016,0.03667,,,,,,,
ISO1|Contig119|51181-51440|-|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12274,0.04690,0.05828,0.01561,0.02755,,,,,,
ISO1|Contig119|52691-53059|-|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09555,0.04443,0.05574,0.01928,0.03336,0.00387,,,,,
ISO1|Contig119|55924-56293|-|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09897,0.04860,0.06021,0.02203,0.03895,0.01561,0.00820,,,,
ISO1|Contig119|54312-54683|-|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10582,0.05280,0.06470,0.02747,0.04159,0.01956,0.01095,0.00818,,,
ISO1|Contig119|31824-32097|-|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11095,0.05652,0.05466,0.02692,0.02642,0.02717,0.02764,0.02753,0.03130,,
ISO1|Contig119|62301-62418|+|,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01732,0.09052,0.06756,0.02609,0.06247,0.03008,0.03596,0.03564,0.03533,0.03531,
