te.name	contig	contig.start	contig.end	div	TE	te.start	te.end	strain	ref.chrom	ref.chromatin	ref.region	uniq.subs	grouping
2L_1:4813089-4813141|-|	2L_1	4813090	4813141	15.9	Jockey-3_DM	2683	2727	ISO1	2	eu	.	NA	Euchromatin
2L_1|11365843-11368214|+|	2L_1	11365844	11368214	0.7	Jockey-3_DM	1933	4303	ISO1	2	eu	.	4	Euchromatin
2L_1|13650159-13651288|-|	2L_1	13650160	13651288	1	Jockey-3_DM	3166	4275	ISO1	2	eu	.	4	Euchromatin
2L_1|20152818-20153306|-|	2L_1	20152819	20153306	2	Jockey-3_DM	3111	3598	ISO1	2	eu	.	3	Euchromatin
2L_1|20153302-20154005|+|	2L_1	20153303	20154005	3.1	Jockey-3_DM	3591	4293	ISO1	2	eu	.	5	Euchromatin
2L_1|20193280-20193360|-|	2L_1	20193281	20193360	8.8	Jockey-3_DM	2452	2532	ISO1	2	eu	.	1	Euchromatin
2L_1|20193357-20194686|-|	2L_1	20193358	20194686	5	Jockey-3_DM	727	2067	ISO1	2	eu	.	4	Euchromatin
2L_1|20246641-20246968|-|	2L_1	20246642	20246968	6.5	Jockey-3_DM	3941	4267	ISO1	2	eu	.	1	Euchromatin
2L_1|20246960-20247585|-|	2L_1	20246961	20247585	6.4	Jockey-3_DM	3187	3829	ISO1	2	eu	.	12	Euchromatin
2L_1|20247564-20248096|-|	2L_1	20247565	20248096	4.9	Jockey-3_DM	2451	3006	ISO1	2	eu	.	8	Euchromatin
2L_1|20248093-20249401|-|	2L_1	20248094	20249401	5.4	Jockey-3_DM	727	2067	ISO1	2	eu	.	10	Euchromatin
2L_1|20255613-20258690|-|	2L_1	20255614	20258690	0.5	Jockey-3_DM	1191	4274	ISO1	2	eu	.	1	Euchromatin
2L_1|20259992-20260192|+|	2L_1	20259993	20260192	8	Jockey-3_DM	3607	3806	ISO1	2	eu	.	1	Euchromatin
2L_1|20260177-20260507|+|	2L_1	20260178	20260507	7.7	Jockey-3_DM	3937	4267	ISO1	2	eu	.	4	Euchromatin
2L_2|121852-122992|+|	2L_2	121853	122992	3.1	Jockey-3_DM	3122	4299	ISO1	2	eu	.	3	Euchromatin
2L_2|1219109-1219467|+|	2L_2	1219110	1219467	24.4	Jockey-3_DM	691	1124	ISO1	2	eu	.	NA	Euchromatin
2L_2|1221483-1221536|+|	2L_2	1221484	1221536	18.9	Jockey-3_DM	3587	3639	ISO1	2	eu	.	NA	Euchromatin
2R_18|665527-668929|-|	2R_18	665528	668929	1.1	Jockey-3_DM	893	4294	ISO1	2	het	.	11	Heterochromatin
2R_18|692028-692215|+|	2R_18	692029	692215	16.9	Jockey-3_DM	1495	1679	ISO1	2	het	.	25	Heterochromatin
2R_20|1269074-1269330|+|	2R_20	1269075	1269330	25.9	Jockey-3_DM	846	1109	ISO1	2	het	.	NA	Heterochromatin
2R_20|1269356-1269409|+|	2R_20	1269357	1269409	9.4	Jockey-3_DM	1378	1430	ISO1	2	het	.	4	Heterochromatin
2R_20|1269406-1269843|+|	2R_20	1269407	1269843	23.3	Jockey-3_DM	1573	2034	ISO1	2	het	.	NA	Heterochromatin
2R_20|1269958-1270214|+|	2R_20	1269959	1270214	27.4	Jockey-3_DM	2510	2774	ISO1	2	het	.	NA	Heterochromatin
2R_20|1275288-1276850|+|	2R_20	1275289	1276850	2.2	Jockey-3_DM	2719	4301	ISO1	2	het	.	4	Heterochromatin
2R_20|1819963-1821059|-|	2R_20	1819964	1821059	0	Jockey-3_DM	3166	4274	ISO1	2	het	.	0	Heterochromatin
2R_21|1271791-1272138|-|	2R_21	1271792	1272138	28.5	Jockey-3_DM	1342	1728	ISO1	2	het	.	NA	Heterochromatin
2R_21|1444851-1445061|+|	2R_21	1444852	1445061	23.3	Jockey-3_DM	2426	2656	ISO1	2	het	.	NA	Heterochromatin
2R_21|21088229-21090148|+|	2R_21	21088230	21090148	0.7	Jockey-3_DM	2377	4295	ISO1	2	eu	.	3	Euchromatin
2R_21|21418906-21518950|-|	2R_21	21518907	21518950	20.4	Jockey-3_DM	766	809	ISO1	2	eu	.	NA	Euchromatin
3L_1|6131003-6131124|+|	3L_1	6131004	6131124	18.2	Jockey-3_DM	3073	3278	ISO1	3	eu	.	NA	Euchromatin
3L_1|17053255-17053379|+|	3L_1	17053256	17053379	2.4	Jockey-3_DM	4167	4290	ISO1	3	eu	.	0	Euchromatin
3L_1|21345681-21346585|+|	3L_1	21345682	21346585	2.1	Jockey-3_DM	3392	4295	ISO1	3	eu	.	4	Euchromatin
3L_1|21752657-21752768|+|	3L_1	21752658	21752768	6.3	Jockey-3_DM	4167	4291	ISO1	3	eu	.	2	Euchromatin
3R_28|3954385-3957417|-|	3R_28	3954386	3957417	0.4	Jockey-3_DM	1259	4290	ISO1	3	eu	.	2	Euchromatin
3R_5|19174-19274|-|	3R_5	19175	19274	10	Jockey-3_DM	4196	4296	ISO1	3	het	centromere	0	Non-Y Cent
3R_5|19275-19684|-|	3R_5	19276	19684	4.4	Jockey-3_DM	3653	4078	ISO1	3	het	centromere	3	Non-Y Cent
3R_5|19683-20286|-|	3R_5	19684	20286	4.6	Jockey-3_DM	2594	3208	ISO1	3	het	centromere	3	Non-Y Cent
3R_5|46496-48181|-|	3R_5	46497	48181	2.1	Jockey-3_DM	2594	4291	ISO1	3	het	centromere	4	Non-Y Cent
3R_5|52818-54474|-|	3R_5	52819	54474	4.5	Jockey-3_DM	2594	4290	ISO1	3	het	centromere	2	Non-Y Cent
3R_5|67216-67778|+|	3R_5	67217	67778	14.2	Jockey-3_DM	101	790	ISO1	3	het	centromere	NA	Non-Y Cent
3R_5|67775-68216|+|	3R_5	67775	68216	7.9	Jockey-3_DM	1743	2186	ISO1	3	het	centromere	NA	Non-Y Cent
3R_5|68215-68413|+|	3R_5	68216	68413	10.1	Jockey-3_DM	2652	2849	ISO1	3	het	centromere	9	Non-Y Cent
3R_5|68414-68544|-|	3R_5	68415	68544	7.7	Jockey-3_DM	3325	3455	ISO1	3	het	centromere	8	Non-Y Cent
3R_5|68541-68648|+|	3R_5	68542	68648	1.9	Jockey-3_DM	1473	1579	ISO1	3	het	centromere	1	Non-Y Cent
3R_5|69211-69514|+|	3R_5	69212	69514	5	Jockey-3_DM	3991	4299	ISO1	3	het	centromere	5	Non-Y Cent
3R_9|0-555|+|	3R_9	1	555	0.7	Jockey-3_DM	3749	4303	ISO1	3	het	proximal_centromeric region	0	Heterochromatin
3_scaffold1|80781-82605|-|	3_scaffold1	80782	82605	0.8	Jockey-3_DM	2392	4274	ISO1	3	het	.	3	Heterochromatin
3_scaffold1|82591-83966|-|	3_scaffold1	82592	83966	0.7	Jockey-3_DM	581	1955	ISO1	3	het	.	1	Heterochromatin
3_scaffold1|2058318-2058624|-|	3_scaffold1	2058319	2058624	0.7	Jockey-3_DM	3990	4295	ISO1	3	het	.	1	Heterochromatin
Contig11|34119-37421|+|	Contig11	34120	37421	0.5	Jockey-3_DM	1002	4303	ISO1	3	het	proximal_centromeric region	3	Heterochromatin
Contig119|31824-32097|-|	Contig119	31825	32097	0.4	Jockey-3_DM	4024	4297	ISO1	4	het	centromere	0	Non-Y Cent
Contig119|35128-35454|+|	Contig119	35129	35454	6.8	Jockey-3_DM	1998	2418	ISO1	4	het	centromere	4	Non-Y Cent
Contig119|35446-36118|+|	Contig119	35447	36118	6	Jockey-3_DM	2930	3601	ISO1	4	het	centromere	12	Non-Y Cent
Contig119|42262-42723|-|	Contig119	42263	42723	3.9	Jockey-3_DM	3697	4212	ISO1	4	het	centromere	3	Non-Y Cent
Contig119|42718-43720|-|	Contig119	42719	43720	5.6	Jockey-3_DM	2548	3594	ISO1	4	het	centromere	19	Non-Y Cent
Contig119|43705-44031|-|	Contig119	43706	44031	7.7	Jockey-3_DM	2085	2429	ISO1	4	het	centromere	15	Non-Y Cent
Contig119|44016-44827|-|	Contig119	44017	44827	2.2	Jockey-3_DM	3360	4188	ISO1	4	het	centromere	4	Non-Y Cent
Contig119|44821-45358|-|	Contig119	44822	45358	6	Jockey-3_DM	114	694	ISO1	4	het	centromere	15	Non-Y Cent
Contig119|48518-51184|+|	Contig119	48519	51184	2.8	Jockey-3_DM	1	2723	ISO1	4	het	centromere	48	Non-Y Cent
Contig119|51181-51440|-|	Contig119	51182	51440	2.3	Jockey-3_DM	3915	4174	ISO1	4	het	centromere	1	Non-Y Cent
Contig119|52691-53059|-|	Contig119	52692	53059	2.2	Jockey-3_DM	3915	4284	ISO1	4	het	centromere	0	Non-Y Cent
Contig119|54312-54683|-|	Contig119	54313	54683	2.7	Jockey-3_DM	3915	4287	ISO1	4	het	centromere	2	Non-Y Cent
Contig119|55924-56293|-|	Contig119	55925	56293	2.4	Jockey-3_DM	3915	4285	ISO1	4	het	centromere	1	Non-Y Cent
Contig119|57527-58081|-|	Contig119	57528	58081	2.9	Jockey-3_DM	3736	4289	ISO1	4	het	centromere	6	Non-Y Cent
Contig119|58079-59406|-|	Contig119	58080	59406	2.4	Jockey-3_DM	1067	2388	ISO1	4	het	centromere	19	Non-Y Cent
Contig119|60219-60370|+|	Contig119	60220	60370	4	Jockey-3_DM	1723	1873	ISO1	4	het	centromere	4	Non-Y Cent
Contig119|60368-60772|+|	Contig119	60369	60772	4.2	Jockey-3_DM	2014	2418	ISO1	4	het	centromere	8	Non-Y Cent
Contig119|60764-62054|+|	Contig119	60765	62054	4.3	Jockey-3_DM	2930	4288	ISO1	4	het	centromere	21	Non-Y Cent
Contig119|62301-62418|+|	Contig119	62302	62418	2.6	Jockey-3_DM	4141	4286	ISO1	4	het	centromere	1	Non-Y Cent
Contig119|64034-64542|-|	Contig119	64035	64542	2.4	Jockey-3_DM	3787	4295	ISO1	4	het	centromere	4	Non-Y Cent
Contig119|64539-66223|-|	Contig119	64540	66223	2.5	Jockey-3_DM	1	1703	ISO1	4	het	centromere	28	Non-Y Cent
Contig135|287659-289934|+|	Contig135	287660	289934	2.1	Jockey-3_DM	1	2289	ISO1	X	het	.	0	Heterochromatin
Contig135|291044-293318|+|	Contig135	291045	293318	2.1	Jockey-3_DM	1	2289	ISO1	X	het	.	1	Heterochromatin
Contig135|294667-296933|+|	Contig135	294668	296933	2.2	Jockey-3_DM	1	2289	ISO1	X	het	.	2	Heterochromatin
Contig135|297803-302075|+|	Contig135	297804	302075	3	Jockey-3_DM	1	4298	ISO1	X	het	.	11	Heterochromatin
Contig135|328888-330523|-|	Contig135	328889	330523	3.2	Jockey-3_DM	278	1915	ISO1	X	het	.	9	Heterochromatin
Contig150|100731-103199|+|	Contig150	100732	103199	1.1	Jockey-3_DM	1	2466	ISO1	.	het	.	1	Heterochromatin
Contig150|103194-104919|+|	Contig150	103195	104919	0.5	Jockey-3_DM	2579	4303	ISO1	.	het	.	0	Heterochromatin
Contig49|19050-23354|+|	Contig49	19051	23354	0.9	Jockey-3_DM	1	4298	ISO1	.	het	.	0	Heterochromatin
Contig5|70367-74180|+|	Contig5	70368	74180	0.6	Jockey-3_DM	491	4303	ISO1	X	het	.	2	Heterochromatin
Contig5|113171-116983|+|	Contig5	113172	116983	0.6	Jockey-3_DM	491	4303	ISO1	X	het	.	4	Heterochromatin
Contig5|307437-308188|+|	Contig5	307438	308188	8.2	Jockey-3_DM	1050	1915	ISO1	X	het	.	20	Heterochromatin
Contig5|323601-327901|-|	Contig5	323602	327901	2.6	Jockey-3_DM	1	4300	ISO1	X	het	.	26	Heterochromatin
Contig5|367183-370181|-|	Contig5	367184	370181	3.8	Jockey-3_DM	489	3491	ISO1	X	het	.	8	Heterochromatin
Contig5|372018-373428|-|	Contig5	372019	373428	3.5	Jockey-3_DM	2790	4275	ISO1	X	het	.	0	Heterochromatin
Contig5|479945-481134|+|	Contig5	479946	481134	10.2	Jockey-3_DM	1	1940	ISO1	X	het	.	2	Heterochromatin
Contig79|5655-6019|+|	Contig79	5656	6019	6.8	Jockey-3_DM	1998	2417	ISO1	X	het	centromere	6	Non-Y Cent
Contig79|6011-7190|+|	Contig79	6012	7190	4.8	Jockey-3_DM	2930	4133	ISO1	X	het	centromere	21	Non-Y Cent
Contig79|7187-7419|-|	Contig79	7188	7419	3.5	Jockey-3_DM	2353	2598	ISO1	X	het	centromere	2	Non-Y Cent
Contig79|10829-12679|-|	Contig79	10830	12679	3.2	Jockey-3_DM	2363	4294	ISO1	X	het	centromere	26	Non-Y Cent
Contig79|12677-13182|-|	Contig79	12678	13182	3.4	Jockey-3_DM	1332	1897	ISO1	X	het	centromere	12	Non-Y Cent
Contig79|13180-14145|-|	Contig79	13181	14145	4.4	Jockey-3_DM	28	995	ISO1	X	het	centromere	18	Non-Y Cent
Contig79|17073-17147|+|	Contig79	17074	17147	0	Jockey-3_DM	3	76	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|19244-19315|-|	Contig79	19245	19315	15.5	Jockey-3_DM	4051	4122	ISO1	X	het	centromere	1	Non-Y Cent
Contig79|19315-19382|-|	Contig79	19316	19382	4.3	Jockey-3_DM	3026	3071	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|20114-20260|+|	Contig79	20115	20260	0.7	Jockey-3_DM	3	148	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|27850-27921|-|	Contig79	27851	27921	15.5	Jockey-3_DM	4051	4122	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|27908-28004|-|	Contig79	27909	28004	4.9	Jockey-3_DM	2993	3071	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|28845-28919|+|	Contig79	28846	28919	1.4	Jockey-3_DM	3	76	ISO1	X	het	centromere	1	Non-Y Cent
Contig79|30822-30968|+|	Contig79	30823	30968	0.7	Jockey-3_DM	3	148	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|31198-31264|+|	Contig79	31199	31264	1.5	Jockey-3_DM	83	148	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|34049-34144|-|	Contig79	34050	34144	4.7	Jockey-3_DM	2993	3071	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|35004-35150|+|	Contig79	35005	35150	2	Jockey-3_DM	3	148	ISO1	X	het	centromere	3	Non-Y Cent
Contig79|37931-38026|-|	Contig79	37932	38026	4.7	Jockey-3_DM	2993	3071	ISO1	X	het	centromere	0	Non-Y Cent
Contig79|40081-41084|-|	Contig79	40082	41084	1.9	Jockey-3_DM	3	1052	ISO1	X	het	centromere	17	Non-Y Cent
Contig79|42282-42514|+|	Contig79	42283	42514	4.3	Jockey-3_DM	2353	2598	ISO1	X	het	centromere	4	Non-Y Cent
Contig79|42511-44652|-|	Contig79	42512	44652	3.5	Jockey-3_DM	1946	4133	ISO1	X	het	centromere	34	Non-Y Cent
Contig95|3782-5075|+|	Contig95	753	2033	0.6	Jockey-3_DM	3009	4297	ISO1	X	het	proximal_centromeric region	7	Heterochromatin
Contig95|752-2033|+|	Contig95	3783	5075	0.5	Jockey-3_DM	3009	4302	ISO1	X	het	proximal_centromeric region	0	Heterochromatin
X_10|42102-45815|-|	X_10	42103	45815	0.5	Jockey-3_DM	558	4273	ISO1	X	het	.	3	Heterochromatin
X_10|112770-113091|-|	X_10	112771	113091	17.1	Jockey-3_DM	1	337	ISO1	X	het	.	5	Heterochromatin
X_10|113057-113960|-|	X_10	113058	113960	6.5	Jockey-3_DM	1050	1940	ISO1	X	het	.	0	Heterochromatin
X_3|0-433|+|	X_3	1	433	2.5	Jockey-3_DM	3867	4299	ISO1	X	eu	.	0	Euchromatin
X_7|135043-136795|-|	X_7	135044	136795	2.4	Jockey-3_DM	2550	4299	ISO1	X	eu	.	13	Euchromatin
Y_Contig10|241546-242605|-|	Y_Contig10	241547	242605	1	Jockey-3_DM	1362	2485	ISO1	Y	het	.	0	Heterochromatin
Y_Contig10|248772-249888|-|	Y_Contig10	248773	249888	1	Jockey-3_DM	1362	2485	ISO1	Y	het	.	0	Heterochromatin
Y_Contig10|312110-314979|+|	Y_Contig10	312111	314979	1.3	Jockey-3_DM	1362	4295	ISO1	Y	het	.	6	Heterochromatin
Y_Contig10|321604-322552|+|	Y_Contig10	321605	322552	0.7	Jockey-3_DM	1362	2374	ISO1	Y	het	.	0	Heterochromatin
Y_Contig10|322542-323409|+|	Y_Contig10	322543	323409	2.5	Jockey-3_DM	3428	4294	ISO1	Y	het	.	0	Heterochromatin
Y_Contig10|340997-343846|+|	Y_Contig10	340998	343846	1.2	Jockey-3_DM	1362	4296	ISO1	Y	het	.	5	Heterochromatin
Y_Contig10|362894-363983|+|	Y_Contig10	362895	363983	0.9	Jockey-3_DM	1362	2516	ISO1	Y	het	.	1	Heterochromatin
Y_Contig10|363986-365070|+|	Y_Contig10	363987	365070	2	Jockey-3_DM	3212	4294	ISO1	Y	het	.	1	Heterochromatin
Y_Contig10|386824-387768|+|	Y_Contig10	386825	387768	0.7	Jockey-3_DM	1362	2374	ISO1	Y	het	.	0	Heterochromatin
Y_Contig10|387758-388616|+|	Y_Contig10	387759	388616	2.7	Jockey-3_DM	3428	4294	ISO1	Y	het	.	3	Heterochromatin
Y_Contig122|52027-52420|-|	Y_Contig122	52028	52420	0	Jockey-3_DM	3883	4275	ISO1	Y	het	.	0	Heterochromatin
Y_Contig17|75693-79024|+|	Y_Contig17	75694	79024	0.4	Jockey-3_DM	962	4293	ISO1	Y	het	.	1	Heterochromatin
Y_Contig20|256751-260792|-|	Y_Contig20	256752	260792	0.6	Jockey-3_DM	231	4273	ISO1	Y	het	.	0	Heterochromatin
Y_Contig20|261387-262514|-|	Y_Contig20	261388	262514	0.7	Jockey-3_DM	948	2134	ISO1	Y	het	.	2	Heterochromatin
Y_Contig20|263466-267507|-|	Y_Contig20	263467	267507	0.6	Jockey-3_DM	231	4273	ISO1	Y	het	.	0	Heterochromatin
Y_Contig20|268099-271863|-|	Y_Contig20	268100	271863	0.6	Jockey-3_DM	231	4054	ISO1	Y	het	.	3	Heterochromatin
Y_Contig26|2254-2689|+|	Y_Contig26	2255	2689	3.5	Jockey-3_DM	2447	2881	ISO1	Y	het	centromere	3	Clade4
Y_Contig26|2693-3880|+|	Y_Contig26	2694	3880	1.9	Jockey-3_DM	3087	4303	ISO1	Y	het	centromere	1	Clade1
Y_Contig26|6146-6438|+|	Y_Contig26	6147	6438	3.1	Jockey-3_DM	3974	4285	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|6763-8366|+|	Y_Contig26	6764	8366	1.2	Jockey-3_DM	181	1801	ISO1	Y	het	centromere	2	Clade1
Y_Contig26|10832-11129|+|	Y_Contig26	10833	11129	3	Jockey-3_DM	3974	4284	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|11454-12015|+|	Y_Contig26	11455	12015	2	Jockey-3_DM	181	741	ISO1	Y	het	centromere	0	Clade1
Y_Contig26|12013-15383|+|	Y_Contig26	12014	15383	0.9	Jockey-3_DM	899	4285	ISO1	Y	het	centromere	5	Clade1
Y_Contig26|17973-18271|+|	Y_Contig26	17974	18271	3.4	Jockey-3_DM	3974	4285	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|18596-22715|+|	Y_Contig26	18597	22715	1.1	Jockey-3_DM	181	4296	ISO1	Y	het	centromere	10	Clade1
