Contig	contig.start	contig.end	div	strand	te	te.start	te.end	te.classification
Y_Contig26	1	76	0	-	Motif:Copia_I-int	1	73	other.te
Y_Contig26	74	350	1.4	-	Motif:Copia_LTR	1	276	other.te
Y_Contig26	351	556	7.1	+	Motif:dmel_rDNA_ETS	336	525	other.rdna
Y_Contig26	557	593	5.4	+	Motif:Gypsy-7_DSe-LTR	1	37	other.te
Y_Contig26	588	694	7.5	+	Motif:Gypsy-7_DSe-LTR	137	243	other.te
Y_Contig26	695	1086	4.3	+	Motif:Gypsy-7_DSe-I	270	666	other.te
Y_Contig26	1084	1480	1.5	+	Motif:Gypsy-7_DSe-I	1107	1503	other.te
Y_Contig26	1480	2054	3.1	+	Motif:Gypsy-7_DSe-I	2042	2627	other.te
Y_Contig26	2052	2254	1.5	+	Motif:Gypsy-7_DSe-I	3052	3255	other.te
Y_Contig26	2255	2689	3.5	+	Motif:Jockey-3_Dmel_08212020	2447	2881	Clade4
Y_Contig26	2694	3880	1.9	+	Motif:Jockey-3_Dmel_08212020	3087	4303	Clade1
Y_Contig26	3881	4099	4.1	-	Motif:R2_DM	1794	2016	R2
Y_Contig26	4098	4200	3.9	-	Motif:dmel_rDNA_28S_rDNA	2548	2650	28S
Y_Contig26	4186	5363	3.9	-	Motif:dsim_rDNA_28S_rDNA	1253	2439	28S
Y_Contig26	5363	5668	4.2	-	Motif:dmel_rDNA_28S_rDNA	2648	2959	28S
Y_Contig26	5665	6128	6.9	-	Motif:R2_DM	3094	3602	R2
Y_Contig26	6147	6438	3.1	+	Motif:Jockey-3_Dmel_08212020	3974	4285	Clade4
Y_Contig26	6438	6761	5.2	-	Motif:R2_DM	2014	2340	R2
Y_Contig26	6764	8366	1.2	+	Motif:Jockey-3_Dmel_08212020	181	1801	Clade1
Y_Contig26	8365	8742	4	-	Motif:R2_DM	1794	2173	R2
Y_Contig26	8741	8843	3.9	-	Motif:dmel_rDNA_28S_rDNA	2548	2650	28S
Y_Contig26	8829	10010	4.3	-	Motif:dsim_rDNA_28S_rDNA	1253	2439	28S
Y_Contig26	10010	10315	3.6	-	Motif:dmel_rDNA_28S_rDNA	2648	2959	28S
Y_Contig26	10312	10814	3.6	-	Motif:R2_DM	3094	3601	R2
Y_Contig26	10833	11129	3	+	Motif:Jockey-3_Dmel_08212020	3974	4284	Clade4
Y_Contig26	11129	11452	4.9	-	Motif:R2_DM	2014	2340	R2
Y_Contig26	11455	12015	2	+	Motif:Jockey-3_Dmel_08212020	181	741	Clade1
Y_Contig26	12014	15383	0.9	+	Motif:Jockey-3_Dmel_08212020	899	4285	Clade1
Y_Contig26	15383	15926	5	-	Motif:R2_DM	1794	2340	R2
Y_Contig26	15925	16027	3.9	-	Motif:dmel_rDNA_28S_rDNA	2548	2650	28S
Y_Contig26	16013	17194	4	-	Motif:dsim_rDNA_28S_rDNA	1253	2439	28S
Y_Contig26	17194	17499	4.2	-	Motif:dmel_rDNA_28S_rDNA	2648	2959	28S
Y_Contig26	17496	17958	6.9	-	Motif:R2_DM	3094	3601	R2
Y_Contig26	17974	18271	3.4	+	Motif:Jockey-3_Dmel_08212020	3974	4285	Clade4
Y_Contig26	18271	18594	5.2	-	Motif:R2_DM	2014	2340	R2
Y_Contig26	18597	22715	1.1	+	Motif:Jockey-3_Dmel_08212020	181	4296	Clade1
Y_Contig26	22716	24046	4	-	Motif:dmel_rDNA_28S_rDNA	103	1458	28S
Y_Contig26	24031	26576	1.1	-	Motif:Jockey-3_Dmel_08212020	1762	4293	Clade1
Y_Contig26	26576	27757	4.9	-	Motif:dmel_rDNA_28S_rDNA	103	1351	28S
Y_Contig26	27742	32059	1.2	-	Motif:Jockey-3_Dmel_08212020	1	4293	Clade1
Y_Contig26	32069	32110	2.4	+	Motif:NTS_240_Dmel	181	233	other.rdna
Y_Contig26	32107	32227	5	-	Motif:dmel_rDNA_28S_rDNA	1	121	other.rdna
Y_Contig26	32228	32392	3	-	Motif:dmel_rDNA_ITS2	212	385	other.rdna
Y_Contig26	32390	33168	4.4	-	Motif:dmel_rDNA_28S_rDNA	2669	3449	other.rdna
Y_Contig26	33199	33434	5.1	+	Motif:Jockey-3_Dmel_08212020	1	270	Clade1
Y_Contig26	33430	33578	5.4	+	Motif:Jockey-3_Dmel_08212020	1922	2068	Clade3
Y_Contig26	33554	33722	7.7	+	Motif:Jockey-3_Dmel_08212020	4121	4292	Clade2
Y_Contig26	33722	33751	10	-	Motif:NTS_104_Dyak	13	42	other.rdna
Y_Contig26	33764	33985	7.2	-	Motif:dmel_rDNA_28S_rDNA	3748	3969	28S
Y_Contig26	34027	34351	5.3	+	Motif:Jockey-3_Dmel_08212020	1	335	Clade3
Y_Contig26	34350	34653	2.3	-	Motif:Jockey-3_Dmel_08212020	2618	2921	Clade3
Y_Contig26	34662	34804	5	+	Motif:dsim_rDNA_ITS2	34	174	other.rdna
Y_Contig26	34817	35402	4.4	-	Motif:Jockey-3_Dmel_08212020	2604	3229	Clade3
Y_Contig26	35404	35451	2.1	+	Motif:dsim_rDNA_5_8S_rDNA	76	123	8S
Y_Contig26	35510	35605	7.3	+	Motif:dmel_rDNA_ITS2	1	96	other.rdna
Y_Contig26	35643	35826	5.4	+	Motif:dmel_rDNA_ITS2	28	219	other.rdna
