chromosome	chromatin	region	contig_name	start.range	end.range	length
2	het	telomere	2L_1	0	35000	35000
2	eu	.	2L_1	35000	21497588	21462588
2	eu	.	2L_2	0	1561069	1561069
2	het	.	2L_2	1561069	2041562	480493
2	het	.	2R_16	0	784897	784897
2	het	.	2R_18	0	724820	724820
2	het	.	2R_19	0	416897	416897
2	het	.	2R_20	0	1966542	1966542
2	het	.	2R_21	0	1656950	1656950
2	eu	.	2R_21	1656950	21579400	19922450
2	het	telomere	2R_21	21579400	21691270	111870
2	het	.	2R2_56_D1828	0	13164	13164
3	het	proximal_centromeric region	3Cen_27_D1777	0	11973	11973
3	het	.	3Cen_31_D1643_D1653_D1791_1	0	30458	30458
3	het	.	3Cen_31_D1643_D1653_D1791_5	0	2876	2876
3	het	.	3Cen_31_D1643_D1653_D1791_6	0	23938	23938
3	het	.	3Cen_31_D1643_D1653_D1791_8	0	71438	71438
3	het	proximal_centromeric region	3Cen_36_D1605_1	0	27124	27124
3	het	proximal_centromeric region	3Cen_36_D1605_2	0	9663	9663
3	het	proximal_centromeric region	3Cen_50_D1686_1	0	5642	5642
3	het	proximal_centromeric region	3Cen_50_D1686_2	0	14583	14583
3	het	telomere	3L_1	0	7000	7000
3	eu	.	3L_1	7000	22946425	22939425
3	het	.	3L_1	22946425	24600008	1653583
3	het	.	3L_10	0	1333836	1333836
3	het	.	3L_3	0	106275	106275
3	het	.	3L_4	0	1804980	1804980
3	het	.	3L_5	0	545545	545545
3	het	.	3L_8	0	9398	9398
3	het	proximal_centromeric region	3R_1	0	27264	27264
3	het	proximal_centromeric region	3R_10	0	36246	36246
3	het	proximal_centromeric region	3R_2	0	3452	3452
3	eu	.	3R_28	0	27961000	27961000
3	het	telomere	3R_28	27961000	27994903	33903
3	het	proximal_centromeric region	3R_3	0	13549	13549
3	het	proximal_centromeric region	3R_4	0	2314	2314
3	het	centromere	3R_5	0	103827	103827
3	het	proximal_centromeric region	3R_6	0	45849	45849
3	het	proximal_centromeric region	3R_8	0	16639	16639
3	het	proximal_centromeric region	3R_9	0	79293	79293
3	het	.	3_scaffold1	0	2808589	2808589
3	het	.	3_scaffold2	0	1735083	1735083
4	het	.	4_2	0	50000	50000
4	eu	.	4_2	50000	1317735	1267735
3	het	.	Contig101	0	50038	50038
X	het	proximal_centromeric region	Contig102	0	4967	4967
X	het	proximal_centromeric region	Contig103	0	7153	7153
3	het	proximal_centromeric region	Contig11	0	338657	338657
	het	.	Contig111	0	50623	50623
	het	.	Contig112	0	52470	52470
	het	.	Contig114	0	89724	89724
	het	.	Contig117	0	40889	40889
	het	.	Contig118	0	38442	38442
4	het	centromere	Contig119	0	93914	93914
X	het	proximal_centromeric region	Contig120	0	98825	98825
.	het	.	Contig121	0	50340	50340
.	het	.	Contig123	0	40807	40807
.	het	.	Contig128	0	38311	38311
.	het	telomere	Contig129	0	34040	34040
.	het	telomere	Contig13	0	268964	268964
.	het	.	Contig133	0	25747	25747
.	het	.	Contig134	0	37526	37526
X	het	.	Contig135	0	439355	439355
2	het	proximal_centromeric region	Contig142	0	60000	60000
2	het	proximal_centromeric region	Contig142	60000	183015	123015
3	het	proximal_centromeric region	Contig145	0	99622	99622
.	het	.	Contig147	0	93105	93105
.	het	.	Contig149	0	98868	98868
.	het	.	Contig150	0	113509	113509
.	het	.	Contig151	0	47769	47769
.	het	.	Contig157	0	21176	21176
.	het	.	Contig21	0	200908	200908
X	het	proximal_centromeric region	Contig31	0	27958	27958
.	het	.	Contig36	0	133201	133201
.	het	.	Contig37	0	41805	41805
.	het	.	Contig38	0	224834	224834
.	het	.	Contig39	0	95124	95124
.	het	.	Contig41	0	33639	33639
.	het	.	Contig42	0	52851	52851
.	het	.	Contig43	0	38154	38154
.	het	.	Contig45	0	55038	55038
.	het	.	Contig46	0	72052	72052
.	het	.	Contig47	0	52399	52399
.	het	.	Contig49	0	42125	42125
X	het	.	Contig5	0	535166	535166
.	het	.	Contig50	0	90319	90319
.	het	.	Contig51	0	43300	43300
.	het	.	Contig53	0	52039	52039
.	het	.	Contig54	0	51347	51347
.	het	.	Contig55	0	72375	72375
.	het	.	Contig56	0	39431	39431
.	het	.	Contig57	0	65984	65984
.	het	.	Contig58	0	35216	35216
.	het	.	Contig59	0	64516	64516
.	het	.	Contig61	0	40591	40591
.	het	.	Contig62	0	61736	61736
.	het	.	Contig63	0	34725	34725
.	het	.	Contig64	0	40641	40641
.	het	.	Contig66	0	46486	46486
.	het	.	Contig69	0	37816	37816
.	het	.	Contig72	0	48072	48072
X	het	centromere	Contig79	0	70181	70181
3	het	.	Contig80	0	13218	13218
.	het	telomere	Contig82	0	232305	232305
