te.name	species.var1	contig.var1	start.var1	end.var1	direction.var1	mid.var1	clade
ISO1|Y_Contig26|2254-2689|+|	ISO1	Y_Contig26	2254	2689	+	2471.5	Clade4
ISO1|Y_Contig26|2693-3880|+|	ISO1	Y_Contig26	2693	3880	+	3286.5	Clade1
ISO1|Y_Contig26|6146-6438|+|	ISO1	Y_Contig26	6146	6438	+	6292	Clade4
ISO1|Y_Contig26|6763-8366|+|	ISO1	Y_Contig26	6763	8366	+	7564.5	Clade1
ISO1|Y_Contig26|10832-11129|+|	ISO1	Y_Contig26	10832	11129	+	10980.5	Clade4
ISO1|Y_Contig26|11454-12015|+|	ISO1	Y_Contig26	11454	12015	+	11734.5	Clade1
ISO1|Y_Contig26|12013-15383|+|	ISO1	Y_Contig26	12013	15383	+	13698	Clade1
ISO1|Y_Contig26|17973-18271|+|	ISO1	Y_Contig26	17973	18271	+	18122	Clade4
ISO1|Y_Contig26|18596-22715|+|	ISO1	Y_Contig26	18596	22715	+	20655.5	Clade1
ISO1|Y_Contig26|24030-26576|-|	ISO1	Y_Contig26	24030	26576	-	25303	Clade1
ISO1|Y_Contig26|27741-32100|-|	ISO1	Y_Contig26	27741	32100	-	29920.5	Clade1
ISO1|Y_Contig26|33165-33434|+|	ISO1	Y_Contig26	33165	33434	+	33299.5	Clade1
ISO1|Y_Contig26|33429-33578|+|	ISO1	Y_Contig26	33429	33578	+	33503.5	Clade3
ISO1|Y_Contig26|33553-33722|+|	ISO1	Y_Contig26	33553	33722	+	33637.5	Clade2
ISO1|Y_Contig26|33985-34351|+|	ISO1	Y_Contig26	33985	34351	+	34168	Clade3
ISO1|Y_Contig26|34349-34653|-|	ISO1	Y_Contig26	34349	34653	-	34501	Clade3
ISO1|Y_Contig26|34816-35402|-|	ISO1	Y_Contig26	34816	35402	-	35109	Clade3
ISO1|Y_Contig26|35843-36446|+|	ISO1	Y_Contig26	35843	36446	+	36144.5	Clade4
ISO1|Y_Contig26|36446-39903|-|	ISO1	Y_Contig26	36446	39903	-	38174.5	Clade1
ISO1|Y_Contig26|39911-40080|+|	ISO1	Y_Contig26	39911	40080	+	39995.5	Clade4A
ISO1|Y_Contig26|40077-40225|-|	ISO1	Y_Contig26	40077	40225	-	40151	Clade4A
ISO1|Y_Contig26|40221-40384|+|	ISO1	Y_Contig26	40221	40384	+	40302.5	Clade2
ISO1|Y_Contig26|40384-40571|-|	ISO1	Y_Contig26	40384	40571	-	40477.5	Clade3
ISO1|Y_Contig26|40562-40805|-|	ISO1	Y_Contig26	40562	40805	-	40683.5	Clade3
ISO1|Y_Contig26|40804-42451|-|	ISO1	Y_Contig26	40804	42451	-	41627.5	Clade1
ISO1|Y_Contig26|42794-43405|+|	ISO1	Y_Contig26	42794	43405	+	43099.5	Clade1
ISO1|Y_Contig26|43408-43603|-|	ISO1	Y_Contig26	43408	43603	-	43505.5	Clade3
ISO1|Y_Contig26|43612-45220|-|	ISO1	Y_Contig26	43612	45220	-	44416	Clade1
ISO1|Y_Contig26|45563-46188|+|	ISO1	Y_Contig26	45563	46188	+	45875.5	Clade4
ISO1|Y_Contig26|46188-46363|-|	ISO1	Y_Contig26	46188	46363	-	46275.5	Clade3
ISO1|Y_Contig26|46362-47070|-|	ISO1	Y_Contig26	46362	47070	-	46716	Clade3
ISO1|Y_Contig26|47397-48018|+|	ISO1	Y_Contig26	47397	48018	+	47707.5	Clade4
ISO1|Y_Contig26|48018-49139|-|	ISO1	Y_Contig26	48018	49139	-	48578.5	Clade3
ISO1|Y_Contig26|49482-50096|+|	ISO1	Y_Contig26	49482	50096	+	49789	Clade4
ISO1|Y_Contig26|50097-51127|-|	ISO1	Y_Contig26	50097	51127	-	50612	Clade3
ISO1|Y_Contig26|51159-52825|-|	ISO1	Y_Contig26	51159	52825	-	51992	Clade3
ISO1|Y_Contig26|53154-53319|+|	ISO1	Y_Contig26	53154	53319	+	53236.5	Clade4
ISO1|Y_Contig26|53318-54286|-|	ISO1	Y_Contig26	53318	54286	-	53802	Clade3
ISO1|Y_Contig26|54615-54780|+|	ISO1	Y_Contig26	54615	54780	+	54697.5	Clade4
ISO1|Y_Contig26|54779-55747|-|	ISO1	Y_Contig26	54779	55747	-	55263	Clade3
ISO1|Y_Contig26|56076-56698|+|	ISO1	Y_Contig26	56076	56698	+	56387	Clade4
ISO1|Y_Contig26|56699-57824|-|	ISO1	Y_Contig26	56699	57824	-	57261.5	Clade3
ISO1|Y_Contig26|58153-58778|+|	ISO1	Y_Contig26	58153	58778	+	58465.5	Clade4
ISO1|Y_Contig26|58779-59720|-|	ISO1	Y_Contig26	58779	59720	-	59249.5	Clade3
ISO1|Y_Contig26|59715-60042|-|	ISO1	Y_Contig26	59715	60042	-	59878.5	Clade4A
ISO1|Y_Contig26|60038-60197|+|	ISO1	Y_Contig26	60038	60197	+	60117.5	Clade2
ISO1|Y_Contig26|60197-60475|-|	ISO1	Y_Contig26	60197	60475	-	60336	Clade3
ISO1|Y_Contig26|60475-61078|-|	ISO1	Y_Contig26	60475	61078	-	60776.5	Clade3
ISO1|Y_Contig26|61450-62073|+|	ISO1	Y_Contig26	61450	62073	+	61761.5	Clade4
ISO1|Y_Contig26|62074-63185|-|	ISO1	Y_Contig26	62074	63185	-	62629.5	Clade3
ISO1|Y_Contig26|63514-64115|+|	ISO1	Y_Contig26	63514	64115	+	63814.5	Clade4
