chrom	mean(pi_DGRP)	median(pi_DGRP)	mean(TajD_DGRP, na.rm = T)	median(TajD_DGRP, na.rm = T)
2L_1	0.00797095793830598	0.00623946932006633	0.00570661202769726	-0.29162362057327
tig00057289	0.00149305709635435	0.000795156140010814	-1.83382417524322	-1.83382417524322
2R_21	0.00648007498193295	0.00480902709056676	-0.0561468079134035	-0.343756997030257
3L_1	0.00673684267516125	0.00492989444401553	-0.118389444576045	-0.388024902328566
3R_5	0.000468943232362978	0	-1.30989505286375	-1.38607249672775
3R_28	0.00534579403930607	0.00393278054173577	-0.254614997246513	-0.491164028919031
Contig119	0.00175518265964354	0.00147863755307875	-0.969945933512525	-1.04036881156019
4_2	0.000893819362718349	0.000610863277031092	-0.62916344663278	-0.717541007331251
Contig79	0.000533699813362983	0.000150357345047611	-0.964318613849437	-0.972510696261833
X_1	0.00419263814451749	0.00305842133682702	-0.217388197583278	-0.444217008906176
