X,ISO1|Y_Contig26|33985-34351|+|,ISO1|Y_Contig26|126012-127299|+|,ISO1|Y_Contig26|124530-125838|+|,ISO1|Y_scaffold5|346753-348945|+|,ISO1|Y_Contig26|128459-130879|+|,ISO1|Y_scaffold7|697968-700579|+|,ISO1|Y_scaffold7|693822-696430|+|,ISO1|Y_scaffold7|689674-692269|+|,ISO1|Y_Contig26|83322-86768|-|,ISO1|Y_Contig26|73602-77222|+|,ISO1|Y_Contig26|79253-83324|+|,ISO1|Y_scaffold7|702121-706449|+|,ISO1|Y_Contig26|27741-32100|-|,ISO1|Y_scaffold7|18983-23280|+|,ISO1|Y_Contig26|33165-33434|+|,ISO1|Y_Contig26|93293-97605|-|,ISO1|Y_scaffold6|107027-108091|-|,ISO1|Y_Contig26|123164-124356|+|,ISO1|Y_Contig26|11454-12015|+|,ISO1|Y_Contig26|6763-8366|+|,ISO1|Y_Contig26|18596-22715|+|,ISO1|Y_Contig20|268099-271863|-|,ISO1|Y_Contig20|263466-267507|-|,ISO1|Y_Contig20|256751-260792|-|,ISO1|Y_Contig26|88263-91914|-|,ISO1|Y_Contig26|36446-39903|-|,ISO1|Y_Contig26|12013-15383|+|,ISO1|Y_Contig20|261387-262514|-|,ISO1|Y_Contig17|75693-79024|+|,ISO1|Y_scaffold5|341448-344514|+|,ISO1|Y_Contig10|321604-322552|+|,ISO1|Y_Contig10|386824-387768|+|,ISO1|Y_Contig10|248772-249888|-|,ISO1|Y_Contig10|241546-242605|-|,ISO1|Y_Contig10|362894-363983|+|,ISO1|Y_Contig10|312110-314979|+|,ISO1|Y_Contig10|340997-343846|+|,ISO1|Y_Contig70|16541-18423|+|,ISO1|Y_Contig70|11173-13687|+|,ISO1|Y_Contig70|9233-10811|-|,ISO1|Y_Contig70|14560-16179|-|,ISO1|Y_Contig26|24030-26576|-|,ISO1|Y_Contig26|127278-128104|+|,ISO1|Y_Contig26|33429-33578|+|,ISO1|Y_Contig26|2254-2689|+|,ISO1|Y_Contig70|5613-6048|+|,ISO1|Y_Contig26|43408-43603|-|,ISO1|Y_Contig26|97601-97958|-|,ISO1|Y_Contig26|34816-35402|-|,ISO1|Y_Contig26|60475-61078|-|,ISO1|Y_Contig26|72051-72654|-|,ISO1|Y_Contig26|46362-47070|-|,ISO1|Y_Contig26|122318-123015|+|,ISO1|Y_Contig26|54779-55747|-|,ISO1|Y_Contig26|53318-54286|-|,ISO1|Y_Contig26|62074-63185|-|,ISO1|Y_Contig26|56699-57824|-|,ISO1|Y_Contig26|77946-79030|-|,ISO1|Y_Contig26|100126-101150|-|,ISO1|Y_Contig26|48018-49139|-|,ISO1|Y_Contig26|116339-117458|-|,ISO1|Y_Contig26|51159-52825|-|,ISO1|Y_Contig26|66860-68529|-|,ISO1|Y_Contig26|64225-65893|-|,ISO1|Y_Contig26|40804-42451|-|,ISO1|Y_Contig26|43612-45220|-|,ISO1|Y_Contig26|34349-34653|-|,ISO1|Y_Contig26|50097-51127|-|,ISO1|Y_Contig26|58779-59720|-|,ISO1|Y_Contig26|70314-71296|-|,ISO1|Y_scaffold5|349853-351307|+|,ISO1|Y_Contig26|92623-93294|-|,ISO1|Y_Contig26|87593-88264|-|,ISO1|Y_Contig70|6052-6495|+|,ISO1|Y_Contig26|2693-3880|+|,ISO1|Y_Contig26|40562-40805|-|,ISO1|Y_Contig26|113043-113592|-|,ISO1|Y_Contig10|363986-365070|+|,ISO1|Y_Contig70|6736-7022|+|,ISO1|Y_Contig10|387758-388616|+|,ISO1|Y_Contig10|322542-323409|+|,ISO1|Y_scaffold4|1846105-1846969|+|,ISO1|Y_scaffold4|1888313-1889091|+|,ISO1|Y_Contig26|71773-72051|-|,ISO1|Y_Contig26|60197-60475|-|,ISO1|Y_Contig26|69496-70277|-|,ISO1|Y_Contig26|40384-40571|-|,ISO1|Y_Contig70|18421-18965|+|,ISO1|Y_Contig26|46188-46363|-|,ISO1|Y_Contig26|98287-98400|+|,ISO1|Y_Contig26|101479-101592|+|,ISO1|Y_Contig26|53154-53319|+|,ISO1|Y_Contig26|54615-54780|+|,ISO1|Y_Contig26|63514-64115|+|,ISO1|Y_Contig26|68858-69460|+|,ISO1|Y_Contig26|72983-73557|+|,ISO1|Y_Contig26|66222-66824|+|,ISO1|Y_Contig26|35843-36446|+|,ISO1|Y_Contig26|42794-43405|+|,ISO1|Y_Contig26|47397-48018|+|,ISO1|Y_Contig26|56076-56698|+|,ISO1|Y_Contig26|61450-62073|+|,ISO1|Y_Contig26|49482-50096|+|,ISO1|Y_Contig26|58153-58778|+|,ISO1|Y_Contig26|45563-46188|+|,ISO1|Y_Contig26|117800-118401|+|,ISO1|Y_Contig70|6500-6747|+|,ISO1|Y_Contig70|7027-7415|+|,ISO1|Y_Contig26|40077-40225|-|,ISO1|Y_Contig26|107575-107880|+|,ISO1|Y_Contig26|109670-109975|+|,ISO1|Y_Contig26|71292-71618|-|,ISO1|Y_Contig26|59715-60042|-|,ISO1|Y_Contig26|104833-105170|+|,ISO1|Y_Contig26|91905-92319|-|,ISO1|Y_Contig26|108160-108609|+|,ISO1|Y_Contig26|110254-110703|+|,ISO1|Y_Contig26|111002-111476|-|,ISO1|Y_Contig26|86773-87290|-|,ISO1|Y_Contig26|103325-103856|-|,ISO1|Y_Contig26|102079-102610|+|,ISO1|Y_Contig26|104013-104543|-|,ISO1|Y_Contig26|115629-116183|-|,ISO1|Y_Contig26|98884-99438|+|,ISO1|Y_Contig26|108984-109538|+|,ISO1|Y_Contig26|106043-106598|-|,ISO1|Y_Contig26|106887-107443|+|,ISO1|Y_Contig26|113586-114142|-|,ISO1|Y_Contig26|102769-103325|+|,ISO1|Y_Contig26|114936-115496|-|,ISO1|Y_Contig26|99438-99968|-|,ISO1|Y_Contig26|77259-77790|-|,ISO1|Y_Contig26|112271-112827|-|,ISO1|Y_Contig26|111755-112271|+|,ISO1|Y_Contig26|114422-114936|+|,ISO1|Y_Contig26|105307-105852|+|,ISO1|Y_Contig74|64194-64676|+|,ISO1|Y_Contig74|53704-54187|-|,ISO1|Y_scaffold4|1659860-1660307|+|,ISO1|Y_Contig4|562869-562903|+|,ISO1|Y_Contig4|82537-82571|-|,ISO1|Y_Contig26|124355-124521|-|,ISO1|Y_Contig26|125837-126003|-|,ISO1|Y_Contig26|128102-128450|-|,ISO1|Y_Contig122|52027-52420|-|,ISO1|Y_Contig26|110698-111001|-|,ISO1|Y_Contig26|108604-108907|-|,ISO1|Y_scaffold4|1281133-1281490|+|,ISO1|Y_scaffold4|1285370-1285728|+|,ISO1|Y_Contig26|101591-101946|+|,ISO1|Y_Contig26|98399-98751|+|,ISO1|Y_Contig26|39911-40080|+|,ISO1|Y_Contig26|123016-123170|-|,ISO1|Y_Contig26|10832-11129|+|,ISO1|Y_Contig26|17973-18271|+|,ISO1|Y_Contig26|6146-6438|+|,ISO1|Y_scaffold4|1155351-1155554|+|,ISO1|Y_scaffold4|1127623-1127830|+|,ISO1|Y_scaffold4|1250817-1251027|+|,ISO1|Y_scaffold4|1159151-1159352|+|,ISO1|Y_Contig26|33553-33722|+|,ISO1|Y_Contig26|108908-108988|-|,ISO1|Y_Contig26|101946-102083|-|,ISO1|Y_Contig26|98751-98888|-|,ISO1|Y_Contig26|106754-106891|-|,ISO1|Y_Contig26|104700-104837|-|,ISO1|Y_Contig26|105185-105322|-|,ISO1|Y_Contig26|111633-111770|-|,ISO1|Y_Contig26|114300-114437|-|,ISO1|Y_Contig26|115492-115629|+|,ISO1|Y_Contig26|109538-109674|-|,ISO1|Y_Contig26|107443-107579|-|,ISO1|Y_Contig26|87286-87423|+|,ISO1|Y_Contig26|92315-92452|+|,ISO1|Y_Contig26|110100-110258|-|,ISO1|Y_Contig26|71614-71773|+|,ISO1|Y_Contig26|108005-108164|-|,ISO1|Y_Contig26|60038-60197|+|,ISO1|Y_Contig26|112883-113043|+|,ISO1|Y_Contig26|106594-106754|+|,ISO1|Y_Contig26|116179-116339|+|,ISO1|Y_Contig26|111472-111633|+|,ISO1|Y_Contig26|103852-104013|+|,ISO1|Y_Contig26|104539-104700|+|,ISO1|Y_Contig26|114138-114300|+|,ISO1|Y_Contig26|102610-102773|-|,ISO1|Y_Contig26|40221-40384|+|,ISO1|Y_Contig26|105913-106043|+|,ISO1|Y_Contig26|77793-77946|+|,ISO1|Y_Contig26|99971-100126|+|,ISO1|Y_Contig26|107885-108005|+|,ISO1|Y_Contig26|109980-110100|+|,ISO1|Y_Contig26|87423-87552|-|,ISO1|Y_Contig26|92452-92581|-|,ISO1|Y_scaffold4|2589422-2589550|-|,ISO1|Y_Contig70|7715-7822|+|
ISO1|Y_Contig26|33985-34351|+|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|126012-127299|+|,0.071123731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|124530-125838|+|,0.071123731,0.017305646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_scaffold5|346753-348945|+|,0.070821531,0.028451571,0.021464529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|128459-130879|+|,0.0717257,0.021366544,0.025087315,0.031730103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_scaffold7|697968-700579|+|,0.064353623,0.031859346,0.026538942,0.019510257,0.033938274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_scaffold7|693822-696430|+|,0.070461237,0.032677007,0.02733512,0.019979961,0.03350016,0.004615511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_scaffold7|689674-692269|+|,0.060598871,0.032192736,0.026811029,0.01962796,0.034556809,0.00580285,0.004250995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|83322-86768|-|,0.092839209,0.033186102,0.024090255,0.014756781,0.033281365,0.022539531,0.022537577,0.023478462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|73602-77222|+|,0.094415854,0.032494018,0.022215901,0.015882184,0.033327593,0.022824414,0.022822466,0.023743896,0.004407179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|79253-83324|+|,0.095400701,0.029676903,0.020929644,0.017557869,0.037369908,0.024344754,0.024342258,0.0252856,0.012013271,0.014297453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_scaffold7|702121-706449|+|,0.067374808,0.033489566,0.028130196,0.020923358,0.034804486,0.005005947,0.005391563,0.006584948,0.020401659,0.021372688,0.026915085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|27741-32100|-|,0.096740892,0.037521156,0.028872393,0.018485946,0.036883813,0.026566573,0.026166157,0.027500629,0.006124333,0.007779314,0.018663511,0.027178003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_scaffold7|18983-23280|+|,0.097600578,0.037671567,0.028195611,0.017135024,0.033930241,0.023448951,0.02344695,0.02436554,0.005320819,0.006756398,0.016090598,0.024095585,0.010349276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|33165-33434|+|,0.111561022,0.074632097,0.069918213,0.043272001,0.073954413,0.062981422,0.06708435,0.06207421,0.050542629,0.054570877,0.054570877,0.062981422,0.05863594,0.050542629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO1|Y_Contig26|93293-97605|-|,0.091738938,0.034966569,0.025419847,0.01823791,0.033338849,0.025234741,0.025232779,0.026169781,0.005287984,0.008117371,0.016767112,0.024928686,0.010533923,0.008505079,0.054571097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
